id,slug,pattern,meaning,level,lesson,course_group,category,source_url,verification
jp-g-0121,adjective-て-noun-で,Adjective + て・Noun + で →  ～て (Adjectives and Nouns),And... (Conjunctive),N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/adjective-て-noun-で,source-indexed
jp-g-0122,adjective-て-b,Adjective + て + B →  ～て (Qualities and States),"And..., Both and (Conjunctive)",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/adjective-て-b,source-indexed
jp-g-0123,のがへた,のがへた →  のがへた,"To be bad at, Poor at, Unskillful",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/のがへた,source-indexed
jp-g-0124,のがじょうず,のがじょうず →  のがじょうず,"To be good at, Proficient",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/のがじょうず,source-indexed
jp-g-0125,adjective-の-は,Adjective + の(は) →  (Adjective) + のは,"The 'one' that... (Indefinite pronoun, Adjective nominalization)",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/adjective-の-は,source-indexed
jp-g-0126,あげる,あげる,"To give (away), To present, To provide",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/あげる,source-indexed
jp-g-0127,くれる,くれる,"To give (me), To be given",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/くれる,source-indexed
jp-g-0128,もらう,もらう →  もらう,"To receive, To get, To obtain",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/もらう,source-indexed
jp-g-0129,けれども,けれども,"But, Although",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/けれども,source-indexed
jp-g-0130,つもりだ,つもりだ,"To plan to, To intend to",N5,10,N5 Lesson 10,general,https://bunpro.jp/grammar_points/つもりだ,source-indexed
jp-g-0131,でも,でも,"Or something, Any... (with question words), No matter (who)",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/でも,source-indexed
jp-g-0132,やすい,やすい →  ～やすい,"Easy to, Likely to",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/やすい,source-indexed
jp-g-0133,にくい,にくい,"Difficult to, Hard to",N4,1,N4 Lesson 1,conditional,https://bunpro.jp/grammar_points/にくい,source-indexed
jp-g-0134,づらい,づらい,"Hard to, Tough to, Painful to, Difficult to",N4,1,N4 Lesson 1,conditional,https://bunpro.jp/grammar_points/づらい,source-indexed
jp-g-0135,だんだん,だんだん →  だんだん,"Gradually, Little by little, Step by step",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/だんだん,source-indexed
jp-g-0136,どんどん,どんどん,"Progressively, Rapidly increasing, More and more",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/どんどん,source-indexed
jp-g-0137,ら,～ら →  ら,"We, Them, They, These, Those",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/ら,source-indexed
jp-g-0138,ていく,ていく →  ～ていく,"To ~ and go, To go on, To start",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/ていく,source-indexed
jp-g-0139,てくる,てくる  → ～てくる,"To come to, To become, To continue, To be starting to, Has been ~ing",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/てくる,source-indexed
jp-g-0140,かた,かた →  かた,"Way of ~ing, How to ~, Manner of ~ing",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/かた,source-indexed
jp-g-0141,だけで,だけで,"Just by, Just with",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/だけで,source-indexed
jp-g-0142,だが・ですが,だが・ですが →  だが,"But, Still, However, Nevertheless",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/だが・ですが,source-indexed
jp-g-0143,なくて-conjunction,なくて →  なくて (Sequence),"To not ~ and ~, Not ~ and ~ (Conjugations)",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/なくて-conjunction,source-indexed
jp-g-0144,なくて,なくて →  なくて (Reasons and Causes),"Not ~ and, Not so, Because not (Examples)",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/なくて,source-indexed
jp-g-0145,ないで,ないで,"Without doing, Not ~ and ~",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/ないで,source-indexed
jp-g-0146,Verb[passive],Verb［れる・られる］ →  れる・られる (Passive),"Was done to ~ by ~, Done without consent, Done to one's dismay",N4,1,N4 Lesson 1,verb-form,https://bunpro.jp/grammar_points/Verb[passive],source-indexed
jp-g-0147,transitive-intransitive-verbs,他動詞・自動詞 →  たどうし・じどうし,Done through action vs. occurring on its own,N4,1,N4 Lesson 1,verb-form,https://bunpro.jp/grammar_points/transitive-intransitive-verbs,source-indexed
jp-g-0148,なおす,なおす →  なおす,"To do over, To redo",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/なおす,source-indexed
