id,expression,reading,meaning,level,topics,tags,source_name,source_row
jp-v-04888,兎,うさぎ,"rabbit, hare",N2,Animals,JLPT JLPT_2 JLPT_3,,4888
jp-v-04889,牛,うし,"cattle, cow",N3,Animals,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,,4889
jp-v-04890,失う,うしなう,"to lose, to part with",N3,,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,,4890
jp-v-04891,疑う,うたがう,"to doubt, to distrust",N2,,JLPT JLPT_2 JLPT_3,,4891
jp-v-04892,宇宙,うちゅう,"universe, cosmos, space",N2,,JLPT JLPT_2 JLPT_3,,4892
jp-v-04893,討つ,うつ,"to attack, to avenge",N2,,JLPT JLPT_2 JLPT_3,,4893
jp-v-04894,撃つ,うつ,"to attack, to shoot",N2,,JLPT JLPT_2 JLPT_3,,4894
jp-v-04895,うっかり,うっかり,carelessly; inadvertently,N3,,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,,4895
jp-v-04896,映す,うつす,"to project, to reflect, to cast (shadow)",N2,,JLPT JLPT_2 JLPT_3,,4896
jp-v-04897,訴える,うったえる,"to complain, to appeal, to sue (a person)",N3,Family & people,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,,4897
jp-v-04898,写る,うつる,"to be photographed, to be projected",N2,,JLPT JLPT_2 JLPT_3,,4898
jp-v-04899,映る,うつる,"to be reflected, to come out (photo)",N2,,JLPT JLPT_2 JLPT_3,,4899
jp-v-04900,うなる,うなる,"to groan, to moan",N2,,JLPT JLPT_2 JLPT_3,,4900
jp-v-04901,奪う,うばう,"to rob, to deprive",N2,,JLPT JLPT_2 JLPT_3,,4901
jp-v-04902,馬,うま,horse; promoted bishop (in Japanese chess known as shogi),N3,Animals,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,,4902
jp-v-04903,生まれ,うまれ,"birth, birth-place",N2,,JLPT JLPT_2 JLPT_3,,4903
jp-v-04904,有無,うむ,"yes or no, presence or absence",N2,,JLPT JLPT_2 JLPT_3,,4904
jp-v-04905,梅,うめ,"plum, lowest (of a three-tier ranking system)",N2,,JLPT JLPT_2 JLPT_3,,4905
jp-v-04906,埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",N2,,JLPT JLPT_2 JLPT_3,,4906
jp-v-04907,裏切る,うらぎる,"to betray, to turn traitor",N2,,JLPT JLPT_2 JLPT_3,,4907
jp-v-04908,羨ましい,うらやましい,"envious, enviable",N2,,JLPT JLPT_2 JLPT_3,,4908
